"행정구역","2025년05월_계_총인구수","2025년05월_계_연령구간인구수","2025년05월_계_0~9세","2025년05월_계_10~19세","2025년05월_계_20~29세","2025년05월_계_30~39세","2025년05월_계_40~49세","2025년05월_계_50~59세","2025년05월_계_60~69세","2025년05월_계_70~79세","2025년05월_계_80~89세","2025년05월_계_90~99세","2025년05월_계_100세 이상"
"서울특별시 강북구 수유3동(1130563500)","22,679","22,679","465","958","3,972","3,401","2,727","3,887","3,670","2,300","1,155","142","2"
"서울특별시 강북구 우이동(1130564500)","19,469","19,469","708","1,236","2,128","2,270","2,459","3,471","3,410","2,319","1,306","159","3"
"서울특별시 강북구 인수동(1130566000)","28,379","28,379","955","1,857","3,161","3,322","3,638","4,869","5,160","3,413","1,760","237","7"
"서울특별시 도봉구 (1132000000)","301,859","301,859","12,409","21,382","34,783","37,336","40,065","52,922","53,185","31,923","15,604","2,187","63"
"서울특별시 도봉구 창제1동(1132051100)","23,606","23,606","994","1,834","2,809","3,116","3,363","4,197","3,720","2,216","1,185","167","5"
"서울특별시 도봉구 창제2동(1132051200)","27,606","27,606","1,141","1,864","3,418","3,796","3,756","4,833","4,626","2,721","1,295","152","4"
"서울특별시 도봉구 창제3동(1132051300)","12,857","12,857","428","880","1,366","1,413","1,750","2,413","2,337","1,442","744","80","4"
"서울특별시 도봉구 창제4동(1132051400)","26,175","26,175","1,278","2,184","3,349","3,537","3,709","4,668","4,141","2,059","1,047","199","4"
"서울특별시 도봉구 창제5동(1132051500)","23,457","23,457","1,034","1,614","2,985","3,398","3,004","4,112","3,914","2,183","1,054","152","7"
"서울특별시 도봉구 도봉제1동(1132052100)","19,583","19,583","495","943","1,895","2,036","2,287","3,466","3,917","2,934","1,421","186","3"
"서울특별시 도봉구 도봉제2동(1132052200)","25,776","25,776","1,298","1,389","2,469","3,292","3,323","4,095","4,810","3,354","1,536","201","9"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,627","20,627","813","1,374","2,655","2,338","2,621","3,644","3,552","2,243","1,232","150","5"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,527","17,527","691","1,075","1,975","2,233","2,353","3,051","3,184","1,901","901","160","3"
